City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
188,Aljustrel,PT,37.8776,-8.1652,303.08,45,0,7.04
189,Norman Wells,CA,65.282,-126.8329,289.17,63,75,3.09
190,Tiksi,RU,71.6872,128.8694,284.04,91,91,2.36
191,Kavaratti,IN,10.5669,72.642,300.4,82,100,7.9
192,Georgetown,MY,5.4112,100.3354,300.31,85,20,2.06
193,Avera,US,33.194,-82.5271,306.88,52,100,2.46
194,Mbanza-Ngungu,CD,-5.25,14.8667,295.25,54,45,2.34
195,Shingu,JP,33.7333,135.9833,297.69,92,68,2.09
196,Greenville,US,35.6127,-77.3663,309.33,48,0,4.12
197,Juneau,US,58.3019,-134.4197,289.17,98,100,5.14
198,Broome,US,42.2506,-75.833,300.7,68,31,1.79
199,Bongandanga,CD,1.5,21.05,294.66,96,100,1.39
200,Port-Gentil,GA,-0.7193,8.7815,297.13,83,40,3.6
201,Emerald,AU,-23.5333,148.1667,281.27,71,0,4.64
202,Praya,CV,14.9215,-23.5087,305.45,31,0,4.12
203,Ukiah,US,39.1502,-123.2078,313.39,31,0,2.06
204,Casper,US,42.8666,-106.3131,300.77,35,0,4.12
205,Cayenne,GF,4.9333,-52.3333,302.64,7,100,4.63
206,Luwuk,ID,-0.9516,122.7875,297.67,91,95,2.28
207,Severnoye,RU,56.3491,78.3619,288.96,93,86,4.36
208,Rio Grande,BR,-32.035,-52.0986,290.21,94,100,8.6
209,Beziers,FR,43.3476,3.219,301.42,61,0,2.06
210,Tecoanapa,MX,16.5167,-98.75,302.8,63,17,4.64
211,Coro,VE,11.4045,-69.6734,303.11,64,100,9.36
212,Dakar,SN,14.6937,-17.4441,302.22,74,40,8.23
213,Saint-Augustin,CA,51.226,-58.6502,286.97,75,100,4.26
214,Saint-Philippe,RE,-21.3585,55.7679,292.71,84,4,3.96
215,Cerkezkoy,TR,41.285,28.0003,296.25,83,0,8.23
216,Qasigiannguit,GL,68.8193,-51.1922,281.74,55,93,2.25
217,Yenotayevka,RU,47.2456,47.0281,298.25,53,0,3.27
218,Dunedin,NZ,-45.8742,170.5036,280.26,75,100,1.79
219,Jian,CN,27.1172,114.9793,299.88,77,71,0.6
220,Torbay,CA,47.6666,-52.7314,290.24,89,100,7.2
221,Airai,TL,-8.9266,125.4092,283.8,80,76,1.72
222,Talwandi Bhai,IN,30.85,74.9333,300.4,82,35,1.58
223,Othaya,KE,-0.5652,36.9609,287.29,89,100,1.28
224,Tuatapere,NZ,-46.1333,167.6833,277.62,91,91,1.24
225,Bonthe,SL,7.5264,-12.505,297.73,77,100,5.35
226,Kununurra,AU,-15.7667,128.7333,284.14,87,19,1.03
227,Plettenberg Bay,ZA,-34.0527,23.3716,290.04,47,0,2.59
228,Maraba,BR,-5.3686,-49.1178,309.25,30,75,1.03
229,Klaksvik,FO,62.2266,-6.589,285.66,91,84,6.71
230,Zverinogolovskoye,RU,54.4586,64.8542,287.76,93,99,5.86
231,Sayyan,YE,15.1718,44.3244,291.32,56,91,2.53
232,Pietersburg,ZA,-23.9045,29.4688,283.62,76,0,1.03
233,Syke,DE,52.9,8.8333,290.97,52,0,4.63
234,Korla,CN,41.7597,86.1469,305.86,16,99,7.06
235,Hailar,CN,49.2,119.7,288.03,74,1,1.44
236,Sorland,NO,67.667,12.6934,285.07,75,51,6.27
237,Asau,RO,46.4333,26.4,294.66,88,100,1.33
238,General Pico,AR,-35.6566,-63.7568,288.14,32,0,6.24
239,Bunesti,RO,46.8333,27.9667,295.03,53,100,1.91
240,Geraldton,AU,-28.7667,114.6,287.38,94,40,4.63
241,Victoria,HK,22.2855,114.1577,303.89,79,100,1.79
242,Lugo,ES,43.0,-7.5,293.02,79,10,2.24
243,Haines Junction,CA,60.7522,-137.5108,289.12,59,100,1.03
244,Codrington,AU,-38.2667,141.9667,280.33,77,13,2.31
245,Ponta Do Sol,PT,32.6667,-17.1,297.43,81,1,1.31
246,Wad Rawah,SD,15.1603,33.1397,302.47,55,100,5.57
247,Vardo,NO,70.3705,31.1107,283.14,87,100,7.2
248,Xiongzhou,CN,25.1167,114.3,299.84,64,100,1.05
249,Buenos Aires,AR,-34.6132,-58.3772,288.0,57,40,3.6
250,Oktyabrskoye,RU,43.0645,44.7417,290.23,93,17,1.0
251,Imbituba,BR,-28.24,-48.6703,299.18,77,100,2.6
252,Glossa,GR,35.4717,23.7763,297.96,46,0,1.41
253,Pampa,US,35.5362,-100.9599,307.17,36,0,6.69
254,Quatre Cocos,MU,-20.2078,57.7625,294.21,76,5,5.04
255,Baykit,RU,61.67,96.37,289.02,97,99,1.79
256,Shitanjing,CN,39.2342,106.3439,295.95,33,0,3.37
257,Skibbereen,IE,51.55,-9.2667,289.32,91,83,2.66
258,Weiser,US,44.251,-116.9693,313.88,22,0,1.34
259,Tautira,PF,-17.7333,-149.15,298.34,77,23,10.83
260,Ustyuzhna,RU,58.8394,36.4321,287.69,97,100,2.72
261,Sur,OM,22.5667,59.5289,301.21,72,100,7.27
262,Fairlie,GB,55.756,-4.8556,289.1,86,100,1.41
263,Isiro,CD,2.7739,27.616,292.83,95,100,0.6
264,Verkhnyaya Khava,RU,51.8404,39.9413,293.19,89,59,3.76
265,Wagar,SD,16.1525,36.2032,301.91,58,100,6.53
266,Vila Franca Do Campo,PT,37.7167,-25.4333,296.38,77,11,1.56
267,Igarka,RU,67.4667,86.5833,283.15,82,0,4.5
268,Mareeba,AU,-17.0,145.4333,288.55,97,2,0.99
269,Tucano,BR,-10.9631,-38.7867,297.89,62,92,4.15
270,Great Yarmouth,GB,52.6083,1.7305,290.6,71,100,6.7
271,Kralendijk,BQ,12.15,-68.2667,300.44,79,89,6.7
272,Saint-Georges,GD,12.0564,-61.7485,302.97,66,20,9.26
273,Algiers,DZ,36.7525,3.042,301.05,54,0,3.6
274,Anamur,TR,36.0751,32.8369,302.34,55,0,4.07
275,Saint-Gabriel,CA,46.3001,-73.3824,299.77,65,83,2.3
276,Karasjok,NO,69.4719,25.5112,280.69,84,25,1.45
277,Mozelos,PT,41.8677,-8.3978,295.3,77,0,2.04
278,Cidreira,BR,-30.1811,-50.2056,291.62,93,100,4.45
279,Mao,ES,39.8885,4.2658,299.46,73,0,2.06
280,Cottonwood Heights,US,40.6197,-111.8102,308.92,24,0,1.54
281,Yarim,YE,14.298,44.3779,289.34,58,94,2.34
282,Nizhniy Kuranakh,RU,58.8353,125.4869,291.14,91,100,0.59
283,Gorontalo,ID,0.5412,123.0595,296.23,95,78,0.95
284,Iglesias,IT,39.3114,8.535,299.83,67,0,2.3
285,Salalah,OM,17.0151,54.0924,297.01,93,90,2.61
286,Montana,BG,43.4125,23.225,294.18,72,43,2.57
287,Pueblo,US,38.2545,-104.6091,299.6,52,100,1.34
288,Cove,BJ,7.221,2.3402,295.61,93,100,1.29
289,Fairbanks,US,64.8378,-147.7164,290.38,65,20,2.24
290,Mehamn,NO,71.0357,27.8492,283.12,81,75,3.6
291,Pokhara,NP,28.2333,83.9833,295.55,83,100,0.77
292,Vestmannaeyjar,IS,63.4427,-20.2734,283.7,81,75,2.57
293,Takoradi,GH,4.8845,-1.7554,297.16,81,59,5.19
294,Balabac,PH,7.9868,117.0645,300.59,81,100,3.21
295,Jodiya,IN,22.6925,70.306,300.79,79,100,7.11
296,Cabo San Lucas,MX,22.8909,-109.9124,307.93,59,18,2.68
297,Saint George,US,37.1041,-113.5841,308.29,37,0,2.57
298,Rafaela,AR,-31.2503,-61.4867,292.04,23,0,5.81
299,Pingzhuang,CN,42.0372,119.2889,290.92,91,100,1.79
300,San Policarpo,PH,12.1791,125.5072,299.5,87,100,3.42
301,Murshidabad,IN,24.1833,88.2667,302.5,65,94,2.47
302,Saiha,IN,22.4833,92.9667,294.64,99,42,1.13
303,Acapulco,MX,16.8634,-99.8901,301.46,69,75,1.55
304,Bell Ville,AR,-32.6259,-62.6887,290.74,25,0,7.78
305,Nara,JP,34.6851,135.8049,300.65,62,37,1.4
306,Manadhoo,MV,5.7667,73.3833,300.6,79,92,7.72
307,Morgan City,US,29.6994,-91.2068,302.04,62,54,2.96
308,Nalut,LY,30.3333,10.85,307.57,15,50,3.19
309,Maragogi,BR,-9.0122,-35.2225,297.35,84,23,2.48
310,Okitipupa,NG,6.5047,4.7839,295.78,97,100,1.08
311,Soyo,AO,-6.1349,12.3689,294.8,84,28,3.05
312,Viedma,AR,-40.8135,-62.9967,284.47,50,53,5.98
313,Hasaki,JP,35.7333,140.8333,298.37,90,79,4.89
314,Rundu,NA,-17.9333,19.7667,289.32,29,7,2.8
315,Olafsvik,IS,64.8945,-23.7142,280.63,87,100,7.41
316,Kangaatsiaq,GL,68.3065,-53.4641,277.91,89,85,3.38
317,Arkadelphia,US,34.1209,-93.0538,307.55,48,99,3.19
318,Jiayuguan,CN,39.8167,98.3,297.35,18,3,4.95
319,Foam Lake,CA,51.65,-103.5343,295.16,45,41,2.38
320,Ardon,RU,43.17,44.29,291.7,71,2,1.11
321,Fuxin,CN,42.0156,121.6589,294.84,99,100,1.29
322,Nishihara,JP,26.1842,127.7558,300.75,89,20,3.09
323,Buzmeyin,TM,38.0507,58.2056,303.0,28,40,2.06
324,Margate,GB,51.3813,1.3862,291.65,70,100,1.79
325,Belmonte,BR,-15.8631,-38.8828,295.96,74,1,3.11
326,Belle Glade,US,26.6845,-80.6676,307.05,51,92,2.18
327,Ginda,IN,30.6945,78.4932,292.18,98,100,0.41
328,Dwarka,IN,22.2394,68.9678,300.67,78,88,5.35
329,Manggar,ID,-2.8833,108.2667,300.12,83,94,4.55
330,Hofn,IS,64.2539,-15.2082,283.95,93,100,0.78
