City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
152,Puerto Escondido,MX,2022-07-26 02:07:08,15.85,-97.0667,300.61,65,75,2.06
153,Pacific Grove,US,2022-07-26 02:07:09,36.6177,-121.9166,292.05,83,75,4.63
154,Alofi,NU,2022-07-26 02:07:09,-19.0595,-169.9187,298.09,65,75,7.2
155,Antofagasta,CL,2022-07-26 02:05:13,-23.65,-70.4,286.75,84,33,1.69
156,Vila Praia De Ancora,PT,2022-07-26 02:07:11,41.811,-8.8526,290.87,86,0,3.74
157,Fairbanks,US,2022-07-26 02:06:33,64.8378,-147.7164,299.6,42,0,11.83
158,Najran,SA,2022-07-26 02:07:11,17.4924,44.1277,296.34,58,100,2.04
159,Caravelas,BR,2022-07-26 02:07:12,-17.7125,-39.2481,293.5,87,8,2.33
160,Oranjestad,AW,2022-07-26 02:04:58,12.524,-70.027,301.12,74,20,9.26
161,Albufeira,PT,2022-07-26 02:07:13,37.0882,-8.2503,301.06,64,0,6.28
162,Partizanskoye,RU,2022-07-26 02:07:13,55.5006,94.39,288.2,70,54,5.54
163,Son La,VN,2022-07-26 02:06:21,21.3167,103.9,301.05,70,6,0.2
164,Ojhar,IN,2022-07-26 02:07:14,20.1,73.9333,295.26,91,100,3.53
165,Nanortalik,GL,2022-07-26 02:07:14,60.1432,-45.2371,279.05,97,100,3.44
166,Leshukonskoye,RU,2022-07-26 02:07:15,64.8989,45.7622,283.46,77,10,1.27
167,Muzhi,RU,2022-07-26 02:07:15,65.3667,64.6667,285.31,63,35,6.93
168,Aswan,EG,2022-07-26 02:07:16,24.0934,32.907,302.58,16,15,3.7
169,Asfi,MA,2022-07-26 02:07:16,32.2994,-9.2372,298.28,56,9,4.58
170,Belawan,ID,2022-07-26 02:07:17,3.7755,98.6832,299.31,83,100,1.36
171,Portland,US,2022-07-26 02:05:06,45.5234,-122.6762,310.68,32,0,3.6
172,Hudson Bay,CA,2022-07-26 02:07:18,52.85,-102.3842,289.4,67,100,3.49
173,Tarakan,ID,2022-07-26 02:07:19,3.3,117.6333,300.42,76,67,2.65
174,Tukrah,LY,2022-07-26 02:07:19,32.5341,20.5791,298.4,83,0,2.47
175,Maceio,BR,2022-07-26 02:04:04,-9.6658,-35.7353,295.84,88,40,2.57
176,Polunochnoye,RU,2022-07-26 02:07:20,60.8697,60.4153,286.14,67,100,1.18
177,Rio Gallegos,AR,2022-07-26 02:07:21,-51.6226,-69.2181,270.18,80,0,3.09
178,Zhezkazgan,KZ,2022-07-26 02:07:21,47.8043,67.7144,294.14,30,0,5.0
179,Berlevag,NO,2022-07-26 02:07:22,70.8578,29.0864,287.12,82,100,3.09
180,Smoky Lake,CA,2022-07-26 02:07:22,54.1169,-112.4686,291.85,68,57,2.89
181,Khasan,RU,2022-07-26 02:08:23,42.4308,130.6434,296.82,82,64,1.23
182,Coihaique,CL,2022-07-26 02:08:24,-45.5752,-72.0662,269.12,93,0,1.03
183,Petropavlovsk-Kamchatskiy,RU,2022-07-26 02:03:50,53.0452,158.6483,289.48,63,75,3.0
184,Ponta Do Sol,PT,2022-07-26 02:08:25,32.6667,-17.1,304.5,42,99,2.97
185,Srednekolymsk,RU,2022-07-26 02:08:25,67.45,153.6833,291.09,31,83,5.89
